iter	F1	Logloss
0	0.04985402104	0.5854165442
1	0.06122760693	0.5003821293
2	0.04391359367	0.4391122671
3	0.04388339175	0.3853402825
4	0.05972448394	0.3437280675
5	0.0448810342	0.310560558
6	0.04587765956	0.2839393274
7	0.05968376837	0.26159167
8	0.05681266816	0.2434386337
9	0.05681266816	0.2304219091
10	0.04394383719	0.2185609731
11	0.04394383719	0.2091483572
12	0.05582647454	0.2017916634
13	0.05681266816	0.1959814243
14	0.05779786178	0.1902526571
15	0.05779786178	0.1856316126
16	0.05779786178	0.1815912159
17	0.05779786178	0.1786673664
18	0.06074745784	0.1757657653
19	0.06074745784	0.1735210788
20	0.06074745784	0.1716526171
21	0.06074745784	0.170099231
22	0.06078893464	0.1687880547
23	0.06078893464	0.1677420222
24	0.06373152708	0.1668319203
25	0.06466634449	0.165795448
26	0.06568829913	0.1651764371
27	0.0656435926	0.1644999814
28	0.06661985428	0.1638120292
29	0.06661985428	0.1632931752
30	0.06666520277	0.1627862585
31	0.06661985428	0.1623700141
32	0.06861605281	0.1621793131
33	0.06861605281	0.1614146456
34	0.06861605281	0.1610602338
35	0.07250596553	0.1605167712
36	0.07444505193	0.1601562905
37	0.0754131328	0.1598289615
38	0.07831154374	0.1594586539
39	0.07831154374	0.1593116519
40	0.0792757417	0.159085114
41	0.0792757417	0.158897848
42	0.0792757417	0.158462943
43	0.0792757417	0.1583464484
44	0.0792757417	0.1581251832
45	0.0792757417	0.1579698489
46	0.0792757417	0.1577064731
47	0.0792757417	0.1575215759
48	0.0792757417	0.1572172213
49	0.0792757417	0.1569804437
50	0.0792757417	0.1569586818
51	0.0792757417	0.1567849617
52	0.08018477359	0.1564555937
53	0.08018477359	0.156378023
54	0.08018477359	0.1561813885
55	0.08018477359	0.1559138263
56	0.08023897258	0.1557013547
57	0.08018477359	0.1555203704
58	0.08018477359	0.1552885425
59	0.08018477359	0.1551507975
60	0.08018477359	0.1550850036
61	0.08018477359	0.1549802663
62	0.08018477359	0.1549657133
63	0.08029324489	0.154940273
64	0.08029324489	0.1548020453
65	0.08029324489	0.1547196705
66	0.08029324489	0.1546677392
67	0.08029324489	0.1546551845
68	0.08029324489	0.1546282662
69	0.08029324489	0.1545342732
70	0.08125613346	0.1544571709
71	0.08029324489	0.1543299807
72	0.08029324489	0.1541769165
73	0.08029324489	0.1539256964
74	0.08029324489	0.1538462913
75	0.08029324489	0.1537203385
76	0.08029324489	0.1536849489
77	0.08029324489	0.1536372762
78	0.08029324489	0.1535552144
79	0.08029324489	0.1534528087
80	0.08125613346	0.1534098671
81	0.08125613346	0.1532647231
82	0.08114641634	0.1532193141
83	0.08114641634	0.153139984
84	0.08221805658	0.1530625027
85	0.0821070962	0.1530226797
86	0.0821070962	0.1529840747
87	0.08492615115	0.152920143
88	0.08868574397	0.1527656471
89	0.08868574397	0.1524804535
90	0.08868574397	0.152383315
91	0.08868574397	0.152293769
92	0.08975804352	0.1519408689
93	0.08975804352	0.1519244699
94	0.08975804352	0.1518535922
95	0.08975804352	0.1515960294
96	0.09071012198	0.1515268893
97	0.09071012198	0.1515098506
98	0.09071012198	0.1514128527
99	0.09166125188	0.1512242612
100	0.09261143462	0.1511715703
101	0.09356067161	0.1511335987
102	0.09261143462	0.1510214838
103	0.09356067161	0.1506753862
104	0.09356067161	0.1506463974
105	0.09356067161	0.150580733
106	0.09356067161	0.1504302076
107	0.09356067161	0.1503603144
108	0.09356067161	0.1503311287
109	0.09356067161	0.1502730695
110	0.09450896428	0.1502029037
111	0.09450896428	0.1500573501
112	0.09545631402	0.1499239878
113	0.09545631402	0.1498031499
114	0.09545631402	0.1497507578
115	0.09545631402	0.1497048783
116	0.09734819036	0.1496242781
117	0.09923631184	0.1494795069
