iter	F1	Logloss
0	0.03993943845	0.5904055221
1	0.03895502851	0.5211023433
2	0.05490685146	0.4593374121
3	0.02277432712	0.409487508
4	0.03396809058	0.3742630381
5	0.03396809058	0.3418310605
6	0.01764400623	0.3164962731
7	0.02889576883	0.2971136272
8	0.03396809058	0.2818702514
9	0.0217503884	0.2698014763
10	0.02481902792	0.2575442128
11	0.02583979328	0.2472050362
12	0.02481902792	0.2382310618
13	0.02481902792	0.2311040579
14	0.02481902792	0.2268823526
15	0.02481902792	0.2233940416
16	0.03699897225	0.2196484745
17	0.02481902792	0.2161594919
18	0.01969932608	0.2141423195
19	0.03800719055	0.2123004559
20	0.03800719055	0.2092266527
21	0.06284879774	0.2071621105
22	0.06578983283	0.2056849141
23	0.06578983283	0.2044375522
24	0.06481048056	0.2034577341
25	0.07254526328	0.201895625
26	0.07448536004	0.2009387899
27	0.07835386017	0.200304813
28	0.08124504973	0.1997590384
29	0.08316768105	0.1985987809
30	0.08604441444	0.1982092679
31	0.08604441444	0.1977555696
32	0.09935579495	0.1971843313
33	0.1021340639	0.1967607871
34	0.1021340639	0.1964023325
35	0.1124284275	0.1958697792
36	0.1189792774	0.1950694874
37	0.1235320246	0.1942085478
38	0.1235320246	0.1936037984
39	0.1244514306	0.1931026685
40	0.1244514306	0.1928244244
41	0.1262875423	0.1923496681
42	0.1253699361	0.1922025205
43	0.1253699361	0.1920654528
44	0.1253699361	0.1920027987
45	0.1272042508	0.1915277476
46	0.1272042508	0.1913608173
47	0.1290349793	0.1911025812
48	0.1290349793	0.1908906172
49	0.1345057522	0.1902996836
50	0.1345057522	0.1899748857
51	0.1345057522	0.1899617483
52	0.1326857196	0.1897025946
53	0.1345057522	0.1885798886
54	0.1345706264	0.1885019271
55	0.1345706264	0.1884583617
56	0.1345706264	0.1884400501
57	0.1345706264	0.1884133058
58	0.1345706264	0.1883567791
59	0.1372952497	0.187887889
60	0.1400119256	0.18784029
61	0.1400119256	0.1878195191
62	0.1427206886	0.1877246263
63	0.1418186447	0.1876494837
64	0.1409157241	0.1872449838
65	0.1409157241	0.1868269892
66	0.1427206886	0.1867149067
67	0.1435529554	0.1866789426
68	0.1454215734	0.1863476723
69	0.1463201236	0.1862622855
70	0.1463201236	0.1861823526
71	0.1463201236	0.1861787205
72	0.1472178034	0.185768116
73	0.1490105574	0.185514636
74	0.1507998453	0.1854785787
75	0.1516931927	0.1848933289
76	0.1525856773	0.1847281462
77	0.1534040613	0.1846325069
78	0.1534040613	0.1846109214
79	0.1533308919	0.1843178096
80	0.1533308919	0.1838275797
81	0.1534040613	0.1836026887
82	0.1534040613	0.1835627509
83	0.1534040613	0.1834148176
84	0.1542944346	0.1831008276
85	0.1542944346	0.182990144
86	0.1542944346	0.1829742222
87	0.1542944346	0.182508585
88	0.1542944346	0.1825054138
89	0.1542944346	0.1824322035
90	0.1542944346	0.1824067086
91	0.1542944346	0.1824032878
92	0.1542944346	0.1823159186
93	0.1542944346	0.1821668794
94	0.156072608	0.1820760301
95	0.156072608	0.1820453688
96	0.156072608	0.1820022343
97	0.156072608	0.1819986354
98	0.1569604104	0.1819470914
99	0.1568856889	0.1818822432
100	0.1578473584	0.181472717
101	0.1587334531	0.1814408557
102	0.1587334531	0.1814218529
103	0.1587334531	0.1814003792
104	0.1640321715	0.1810956597
105	0.1640321715	0.1810498241
106	0.1640321715	0.1810122743
107	0.1640321715	0.1809361493
108	0.1649123277	0.1808356261
109	0.1649123277	0.1808345408
110	0.1649123277	0.1807119708
111	0.1649123277	0.1806519164
112	0.1649123277	0.1806314676
113	0.1649123277	0.1806296051
114	0.1649123277	0.1806254526
115	0.1649123277	0.1805839692
116	0.1649123277	0.1805795183
117	0.1640321715	0.1805654262
118	0.1649123277	0.1805644676
119	0.1649123277	0.1805581086
120	0.1649123277	0.1805562691
121	0.1649123277	0.1801695702
122	0.1649123277	0.1801077084
123	0.1666701108	0.1798731729
124	0.1675477402	0.1795541043
125	0.1675477402	0.1795439568
126	0.1675477402	0.179495111
127	0.1684245297	0.1789698473
128	0.1693806131	0.1786050444
129	0.1693806131	0.1785984723
130	0.1702561022	0.1783922867
131	0.1702561022	0.1783806948
132	0.1702561022	0.1781519347
133	0.1711307543	0.1779402796
134	0.1711307543	0.1779358989
135	0.1720045706	0.177579984
