iter	F1	Logloss
0	0.04267888689	0.363109411
1	0.005221932115	0.2786519584
2	0.01350857193	0.2528923017
3	0.01454657361	0.2448956383
4	0.02583979328	0.2342207636
5	0.05097609486	0.2297826833
6	0.07992300461	0.2252752186
7	0.08403733528	0.2239761498
8	0.08467068822	0.223720463
9	0.08272574105	0.2235044085
10	0.0845988968	0.2211856443
11	0.08650336391	0.2193662176
12	0.08786330843	0.2186296992
13	0.09072277571	0.2179762045
14	0.09171295909	0.2178136742
15	0.09546959672	0.217510564
16	0.09551005492	0.2170103052
17	0.09551005492	0.2168064658
18	0.09546959672	0.2166297007
19	0.09551005492	0.2158644164
20	0.09645696898	0.2154240596
21	0.09645696898	0.2149952069
22	0.09645696898	0.2149475779
23	0.09645696898	0.214840363
24	0.09546959672	0.2146463101
25	0.1086359958	0.2134054804
26	0.1095234395	0.2132462255
27	0.1169554222	0.2128738045
28	0.1342073604	0.2122100901
29	0.1449119306	0.2116143972
30	0.1449715873	0.2110674681
31	0.1502112469	0.2105356933
32	0.1598255395	0.2096276323
33	0.1634075353	0.2086582321
34	0.1669109337	0.2077267962
35	0.169667387	0.2071610699
36	0.1722806261	0.2062271636
37	0.1774847818	0.2050817948
38	0.1850866665	0.204094356
39	0.1886594076	0.2031206349
40	0.196158785	0.2022167138
41	0.2035022486	0.2011729272
42	0.2111008784	0.2002122657
43	0.2144219101	0.1995929084
44	0.2177306339	0.1979526027
45	0.2235794409	0.1968031926
46	0.228489441	0.1960676476
47	0.2324694	0.195031663
48	0.2325604216	0.1942219246
49	0.2351779522	0.1932517279
50	0.2423492248	0.1920654951
51	0.2496498036	0.1913604531
52	0.2527356889	0.1904534597
53	0.2551151566	0.1899311697
54	0.2608432305	0.1890500135
55	0.265555918	0.1879124301
56	0.2693602901	0.1873487788
57	0.2762422591	0.1863910337
58	0.2764534889	0.1856350071
59	0.2796486991	0.1847189988
60	0.2827271166	0.1838107372
61	0.2887413699	0.1830985226
62	0.2886318049	0.1822322451
63	0.2969759652	0.1809657995
64	0.3029935191	0.1798112377
65	0.3062164126	0.1790287593
66	0.3084555135	0.1781969867
67	0.3129160023	0.1774495169
68	0.317353029	0.1771267524
69	0.3215272785	0.1763948951
70	0.3266444066	0.1755083579
71	0.3304027595	0.1748358989
72	0.3376297558	0.1739005726
73	0.3396605806	0.1731577253
74	0.3380997707	0.1725971799
