iter	Passed	Remaining
0	9	7263
1	26	10037
2	37	9432
3	50	9560
4	69	10508
5	87	10991
6	98	10524
7	116	10900
8	134	11179
9	145	10879
10	158	10781
11	173	10744
12	183	10492
13	190	10112
14	207	10278
15	224	10408
16	241	10515
17	250	10274
18	258	10049
19	275	10170
20	287	10076
21	305	10190
22	322	10287
23	339	10370
24	354	10379
25	371	10452
26	389	10535
27	404	10542
28	420	10559
29	429	10400
30	441	10339
31	459	10413
32	469	10301
33	479	10205
34	497	10266
35	512	10269
36	527	10271
37	540	10217
38	558	10282
39	566	10155
40	577	10091
41	595	10137
42	605	10060
43	622	10088
44	639	10123
45	658	10174
46	676	10217
47	694	10257
48	711	10283
49	728	10302
50	742	10275
51	758	10289
52	777	10331
53	795	10352
54	811	10362
55	828	10373
56	847	10402
57	864	10416
58	880	10419
59	898	10439
60	915	10447
61	927	10398
62	944	10400
63	952	10315
64	969	10316
65	987	10339
66	994	10245
67	1011	10245
68	1023	10206
69	1033	10146
70	1050	10150
71	1060	10085
72	1076	10086
73	1093	10090
74	1110	10099
75	1127	10104
76	1135	10024
77	1152	10029
78	1163	9988
79	1181	9996
80	1197	9996
81	1209	9956
82	1226	9962
83	1243	9960
84	1254	9916
85	1270	9911
86	1287	9916
87	1302	9904
88	1318	9893
89	1336	9904
90	1352	9901
91	1369	9895
92	1385	9893
93	1393	9825
94	1409	9820
95	1418	9766
96	1428	9721
97	1441	9690
98	1452	9651
99	1462	9609
100	1473	9570
101	1484	9533
102	1503	9543
103	1521	9553
104	1539	9560
105	1556	9560
106	1567	9524
107	1584	9523
108	1602	9524
109	1619	9524
110	1637	9528
111	1654	9529
112	1670	9519
113	1679	9473
114	1687	9422
115	1699	9391
116	1717	9395
117	1733	9387
118	1752	9395
119	1768	9389
120	1785	9386
121	1795	9346
122	1812	9343
123	1830	9342
124	1847	9339
125	1860	9315
126	1875	9305
127	1887	9277
128	1904	9273
129	1921	9269
130	1939	9270
131	1950	9235
132	1960	9196
133	1976	9190
134	1991	9175
135	2006	9163
136	2024	9159
137	2040	9154
138	2052	9125
139	2063	9095
140	2079	9086
141	2095	9077
142	2112	9068
143	2128	9062
144	2145	9055
145	2161	9045
146	2178	9041
147	2192	9023
148	2204	8994
149	2220	8987
150	2231	8955
151	2246	8941
152	2256	8908
153	2274	8905
154	2291	8900
155	2308	8892
156	2326	8890
157	2343	8885
158	2358	8869
159	2374	8860
160	2390	8848
161	2400	8818
162	2411	8789
163	2428	8779
164	2445	8774
165	2462	8766
166	2471	8733
167	2486	8716
168	2494	8679
169	2510	8667
170	2526	8659
171	2536	8626
172	2553	8618
173	2563	8587
174	2578	8576
175	2594	8566
176	2610	8553
177	2626	8544
178	2642	8534
179	2654	8508
180	2670	8499
181	2702	8537
182	2717	8524
183	2734	8516
184	2751	8507
185	2768	8499
186	2785	8491
187	2801	8480
188	2819	8474
189	2836	8466
190	2846	8434
191	2856	8406
192	2873	8396
193	2883	8368
194	2900	8360
195	2912	8336
