iter	Passed	Remaining
402	12030	50153
403	12053	50094
404	12081	50057
405	12113	50036
406	12145	50015
407	12177	49993
408	12210	49977
409	12244	49964
410	12281	49960
411	12316	49952
412	12351	49944
413	12388	49941
414	12420	49920
415	12452	49901
416	12480	49860
417	12512	49842
418	12541	49806
419	12574	49788
420	12615	49803
421	12662	49839
422	12701	49843
423	12744	49864
424	12783	49869
425	12827	49895
426	12867	49904
427	12903	49893
428	12942	49899
429	12981	49902
430	13020	49907
431	13056	49898
432	13094	49899
433	13127	49878
434	13162	49865
435	13194	49841
436	13226	49818
437	13260	49801
438	13293	49783
439	13324	49753
440	13357	49734
441	13387	49704
442	13420	49683
443	13449	49646
444	13478	49613
445	13504	49568
446	13536	49541
447	13565	49506
448	13592	49467
449	13623	49438
450	13652	49403
451	13683	49375
452	13707	49321
453	13735	49283
454	13764	49250
455	13794	49220
456	13820	49174
457	13850	49142
458	13875	49092
459	13898	49037
460	13928	49007
461	13954	48960
462	13984	48928
463	14007	48876
464	14036	48841
465	14063	48799
466	14092	48766
467	14118	48722
468	14146	48683
469	14176	48653
470	14204	48615
471	14232	48576
472	14259	48534
473	14286	48495
474	14315	48460
475	14345	48430
476	14374	48395
477	14404	48367
478	14431	48326
479	14462	48297
480	14493	48271
481	14520	48232
482	14547	48189
483	14574	48150
484	14607	48128
485	14633	48084
486	14664	48059
487	14693	48025
488	14727	48005
489	14763	47995
490	14792	47964
491	14824	47938
492	14855	47910
493	14880	47864
494	14910	47834
495	14938	47798
496	14966	47760
497	14999	47740
498	15031	47715
499	15058	47676
500	15086	47638
501	15114	47602
502	15142	47565
503	15177	47548
504	15210	47528
505	15238	47493
506	15274	47479
507	15304	47449
508	15341	47441
509	15372	47413
510	15401	47380
511	15431	47350
512	15463	47325
513	15494	47298
514	15520	47254
515	15553	47232
516	15584	47206
517	15616	47181
518	15646	47149
519	15678	47126
520	15713	47109
521	15752	47106
522	15792	47105
523	15831	47101
524	15872	47104
525	15903	47076
526	15942	47070
527	15976	47053
528	16005	47017
529	16035	46986
530	16070	46970
531	16110	46970
532	16150	46967
533	16186	46952
534	16214	46916
535	16246	46891
536	16281	46874
537	16306	46828
538	16338	46802
539	16367	46768
540	16397	46737
541	16426	46703
542	16455	46670
543	16491	46654
544	16524	46631
545	16556	46608
546	16594	46598
547	16627	46575
548	16661	46554
549	16687	46511
550	16722	46496
551	16756	46475
552	16789	46452
553	16819	46421
554	16848	46386
555	16878	46355
556	16912	46335
557	16943	46306
558	16972	46273
559	17002	46241
560	17033	46210
561	17063	46180
562	17093	46150
563	17124	46121
564	17154	46089
565	17190	46073
566	17223	46051
567	17259	46034
568	17289	46004
569	17321	45978
570	17350	45943
571	17380	45913
572	17414	45892
573	17445	45862
574	17480	45845
575	17510	45814
576	17543	45790
577	17577	45769
578	17609	45742
579	17641	45716
580	17673	45689
581	17705	45661
582	17736	45632
583	17769	45609
584	17803	45588
585	17836	45566
586	17873	45551
587	17906	45527
588	17938	45500
589	17968	45470
590	17998	45438
591	18030	45410
592	18062	45385
593	18095	45360
594	18124	45327
595	18153	45292
596	18185	45265
597	18214	45231
598	18250	45213
599	18283	45191
600	18316	45167
601	18352	45150
602	18402	45167
603	18442	45158
604	18476	45137
605	18510	45114
606	18544	45094
607	18579	45073
608	18611	45046
609	18642	45016
610	18676	44994
611	18707	44965
612	18741	44943
613	18777	44925
614	18818	44918
615	18856	44907
616	18902	44912
617	18940	44899
618	18980	44890
619	19019	44880
620	19058	44868
621	19093	44848
622	19127	44824
623	19161	44802
624	19197	44783
625	19234	44766
626	19265	44736
627	19294	44702
628	19326	44675
629	19360	44652
630	19389	44618
631	19427	44604
632	19463	44583
633	19504	44576
634	19537	44552
635	19573	44533
636	19618	44535
637	19658	44523
638	19697	44511
639	19735	44497
640	19773	44482
641	19813	44472
642	19855	44465
643	19939	44554
644	19985	44555
645	20022	44538
646	20062	44528
647	20104	44522
648	20151	44525
649	20192	44515
650	20241	44524
651	20283	44518
652	20341	44545
653	20384	44540
654	20426	44532
655	20470	44530
656	20513	44524
657	20555	44516
658	20589	44490
659	20624	44467
660	20661	44449
661	20694	44422
662	20733	44407
663	20789	44428
664	20847	44454
665	20898	44463
666	20952	44481
667	21003	44490
668	21054	44501
669	21100	44500
670	21146	44499
671	21190	44494
672	21234	44487
673	21283	44492
674	21327	44488
675	21375	44490
676	21416	44478
677	21468	44487
678	21519	44496
679	21571	44506
680	21619	44509
681	21672	44520
682	21725	44531
683	21774	44535
684	21839	44571
685	21892	44582
686	21940	44583
687	21984	44576
688	22029	44569
689	22074	44564
690	22119	44559
691	22167	44558
692	22215	44559
693	22261	44554
694	22309	44554
695	22356	44552
696	22402	44548
697	22450	44546
698	22491	44532
699	22535	44524
700	22576	44509
701	22620	44500
702	22668	44497
703	22710	44485
704	22755	44477
705	22806	44482
706	22849	44470
707	22890	44455
708	22933	44444
709	22975	44430
710	23017	44416
711	23057	44398
712	23099	44385
713	23141	44371
714	23186	44361
715	23224	44341
716	23272	44337
717	23320	44334
718	23363	44323
719	23405	44308
720	23449	44297
721	23498	44294
722	23542	44284
