iter	Logloss
0	0.6069902312
1	0.537839267
2	0.4876653304
3	0.441352805
4	0.406893878
5	0.3761855077
6	0.3513734071
7	0.3305050103
8	0.3115349552
9	0.2987197003
10	0.2868160277
11	0.2769494972
12	0.2686518952
13	0.2625326712
14	0.2561043162
15	0.2511723658
16	0.246490739
17	0.2430534176
18	0.2397752229
19	0.2370413663
20	0.234795878
21	0.233294977
22	0.2316322895
23	0.2302852343
24	0.2291512708
25	0.2281252239
26	0.227490971
27	0.2261987618
28	0.2255334008
29	0.2249654841
30	0.2242101504
31	0.2234313634
32	0.222929893
33	0.2222797472
34	0.2218290792
35	0.2214648078
36	0.2210613867
37	0.2207967814
38	0.2205054812
39	0.2202676855
40	0.2199956202
41	0.2197124844
42	0.2196624955
43	0.2195095592
44	0.2191015981
45	0.2188730093
46	0.2186615766
47	0.2184469405
48	0.2183272982
49	0.218204716
50	0.2179097363
51	0.217832868
52	0.217630188
53	0.2173521948
54	0.2171829041
55	0.2169863798
56	0.2167828538
57	0.2167588335
58	0.2164587528
59	0.2162484312
60	0.2158131095
61	0.2157167788
62	0.2155889777
63	0.2155146884
64	0.2154812374
65	0.2153607391
66	0.2152738041
67	0.2149121193
68	0.2146676254
69	0.2145018678
70	0.2144729161
71	0.2142925378
72	0.2141759001
73	0.2141256986
74	0.2140520664
75	0.2139941583
76	0.2138851815
77	0.2137162899
78	0.2136653874
79	0.2135550683
80	0.2135285375
81	0.2134378525
82	0.2131651818
83	0.2131480067
84	0.2130930731
85	0.2130520982
86	0.2128461985
87	0.2127893373
88	0.2127016589
89	0.2122340481
90	0.2118625924
91	0.2117446992
92	0.2117233297
93	0.2116064241
94	0.2115976657
95	0.2113582584
96	0.2112795625
97	0.2111600362
98	0.2108758241
99	0.2108024758
100	0.2104329385
101	0.2102894797
102	0.2100343241
103	0.2099893713
104	0.2099622864
105	0.20978483
106	0.2097806562
107	0.2097670388
108	0.2094599815
109	0.2093599436
110	0.2093204093
111	0.2091849614
112	0.209124811
113	0.209031558
114	0.2090120104
115	0.2089443576
116	0.2088855859
117	0.2088586758
118	0.208839331
119	0.2087143508
120	0.2086607243
121	0.2085513162
122	0.2085492908
123	0.2084880256
124	0.2084395214
125	0.2082640389
126	0.2081398933
127	0.2080691458
128	0.2079637269
129	0.2078692283
130	0.2076337628
131	0.2074250551
132	0.2073186727
133	0.2072075998
134	0.2069084899
135	0.206849595
136	0.2065898087
137	0.2065544766
138	0.2064966826
139	0.2061825191
140	0.2061241168
141	0.2060483061
142	0.2059346934
143	0.2055356722
144	0.2055041133
145	0.2053413568
146	0.2052644577
147	0.2052240952
148	0.2051621111
149	0.205054408
150	0.2049572737
151	0.2049342933
152	0.2048639285
153	0.2048185764
154	0.2047618582
155	0.2045772814
156	0.204561539
157	0.2044557609
158	0.2041348653
159	0.2040746306
160	0.2039667648
